,summary,config,name
10,"{'epoch': 127, '_runtime': 10342.249025344849, 'accuracy': 0.5578186596583443, 'train_loss': 0.6864999624399039, 'learning_rate': 0, '_step': 4992, '_wandb': {'runtime': 10341}, 'eval_loss': 0.6836092484559064, '_timestamp': 1693774895.7988973}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_277_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 0.5, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 4992, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_277_modded
11,"{'_runtime': 10854.993304014206, 'eval_loss': 0.6835559625276096, '_timestamp': 1693764535.475146, 'train_loss': 0.6865705832456931, 'epoch': 127, '_wandb': {'runtime': 10854}, 'learning_rate': 0, '_step': 4992, 'accuracy': 0.557161629434954}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_276_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 0.5, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 4992, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_276_modded
12,"{'_runtime': 3925.555147171021, '_timestamp': 1693753663.1816142, 'learning_rate': 5.12e-08, '_step': 128, 'epoch': 127, '_wandb': {'runtime': 3925}, 'accuracy': 0.5042047531992687, 'eval_loss': 0.7550815336885508, 'train_loss': 0.6699883937835693}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_275_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 32, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_275_modded
13,"{'eval_loss': 0.7498126113623903, '_step': 128, '_wandb': {'runtime': 3955}, 'accuracy': 0.5042047531992687, 'train_loss': 0.667927086353302, 'learning_rate': 0, 'epoch': 127, '_runtime': 3956.629199504852, '_timestamp': 1693749718.1013806}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_274_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 32, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_274_modded
14,"{'_step': 128, 'epoch': 127, '_runtime': 4078.129437685013, 'accuracy': 0.5041591320072333, '_timestamp': 1693745746.3169718, '_wandb': {'runtime': 4077}, 'eval_loss': 0.7560399226370574, 'train_loss': 0.6778162121772766, 'learning_rate': 5.12e-08}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_273_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 2, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_273_modded
15,"{'epoch': 95, '_runtime': 3144.4980568885803, 'train_loss': 0.6747644543647766, 'learning_rate': 1.9199999999999997e-07, '_step': 96, '_wandb': {'runtime': 3143}, 'accuracy': 0.5041591320072333, 'eval_loss': 0.7555079818460982, '_timestamp': 1693741650.747921}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_272_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0, 'learning_rate': 2e-07, 'training_size': 2, 'with_tracking': True, 'insert_dropout': 0.2, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_272_modded
16,"{'epoch': 127, '_wandb': {'runtime': 16842}, 'train_loss': 0.6008774194961939, 'learning_rate': 0, '_step': 9984, 'accuracy': 0.6498194945848376, 'eval_loss': 0.6523468562534878, '_timestamp': 1693738488.1247058, '_runtime': 16843.410755872726}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_271_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 1, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 9984, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_271_modded
17,"{'_step': 9984, '_wandb': {'runtime': 16382}, 'eval_loss': 0.6525439671107701, '_timestamp': 1693721626.4201982, 'epoch': 127, '_runtime': 16384.45835828781, 'accuracy': 0.6425992779783394, 'train_loss': 0.6051666064140124, 'learning_rate': 0}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_270_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 1, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 9984, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_270_modded
18,"{'accuracy': 0.5854139290407359, 'learning_rate': 0, '_step': 4992, 'epoch': 127, 'eval_loss': 0.6784053622740102, '_timestamp': 1693705221.333145, 'train_loss': 0.6540274008726462, '_wandb': {'runtime': 10050}, '_runtime': 10051.366010904312}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_269_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 0.5, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 4992, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_269_modded
19,"{'_step': 4992, 'epoch': 127, '_runtime': 10249.597714424131, 'accuracy': 0.5873850197109067, '_timestamp': 1693695152.4990835, 'learning_rate': 0, '_wandb': {'runtime': 10249}, 'eval_loss': 0.6760372940782478, 'train_loss': 0.6465991582625952}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_268_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 0.5, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 4992, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_268_modded
20,"{'learning_rate': 5.12e-08, '_step': 128, '_wandb': {'runtime': 3711}, '_runtime': 3711.718028783798, 'accuracy': 0.5042047531992687, 'epoch': 127, 'eval_loss': 0.754879867821409, '_timestamp': 1693684883.9938629, 'train_loss': 0.691148042678833}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_267_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 32, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_267_modded
21,"{'eval_loss': 0.7495093987002011, '_timestamp': 1693681155.1821194, 'train_loss': 0.6851966381072998, 'learning_rate': 0, '_step': 128, '_wandb': {'runtime': 3732}, '_runtime': 3733.0351343154903, 'accuracy': 0.5042047531992687, 'epoch': 127}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_266_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 32, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 100, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_266_modded
22,"{'eval_loss': 0.7564216569668984, '_timestamp': 1693677404.864405, '_runtime': 3813.9815797805786, 'accuracy': 0.5041591320072333, 'train_loss': 0.6743144392967224, 'learning_rate': 5.12e-08, '_step': 128, 'epoch': 127, '_wandb': {'runtime': 3812}}","{'seed': 0, 'beta1': 0.9, 'beta2': 0.999, 'hub_token': None, 'report_to': 'all', 'task_name': 'rte', 'max_length': 128, 'output_dir': '/home/lange/fantastic-umbrella/runs/run_07_265_modded', 'train_file': None, 'use_modded': True, 'push_to_hub': False, 'hub_model_id': None, 'weight_decay': 0, 'catch_dropout': 0.05, 'learning_rate': 2e-07, 'training_size': 2, 'with_tracking': True, 'insert_dropout': 0.1, 'max_train_steps': 128, 'validation_file': None, 'num_train_epochs': 128, 'num_warmup_steps': 500, 'lr_scheduler_type': 'linear', 'pad_to_max_length': False, 'model_name_or_path': 'bert-large-uncased', 'use_slow_tokenizer': False, 'checkpointing_steps': None, 'resume_from_checkpoint': None, 'early_stopping_patience': 10, 'ignore_mismatched_sizes': False, 'early_stopping_min_delta': 0, 'per_device_eval_batch_size': 8, 'gradient_accumulation_steps': 1, 'per_device_train_batch_size': 32}",run_07_265_modded
